Admin2,Crop,Area,Admin1
Amethi,pearl millet,716.599999025464,Uttar Pradesh
Amethi,potato,5261.50002288818,Uttar Pradesh
Amethi,rapeseed,4207.4999961853,Uttar Pradesh
Amethi,robusta coffee,0,Uttar Pradesh
Amethi,rice,87788.4991455078,Uttar Pradesh
Amethi,sesameseed,989.899990200996,Uttar Pradesh
Amethi,small millet,34.6000000014901,Uttar Pradesh
Amethi,sorghum,5251.20002365112,Uttar Pradesh
Amethi,soybean,0,Uttar Pradesh
Amethi,sugarbeet,0,Uttar Pradesh
Amethi,sugarcane,4328.39997160435,Uttar Pradesh
Amethi,sunflower,16.0000002011657,Uttar Pradesh
Amethi,sweet potato,411.599998950958,Uttar Pradesh
Amethi,tea,0,Uttar Pradesh
Amethi,temperate fruit,0,Uttar Pradesh
Amethi,tobacco,0,Uttar Pradesh
Amethi,tropical fruit,481.599991798401,Uttar Pradesh
Amethi,vegetables,1914.99998664856,Uttar Pradesh
Amethi,wheat,108451.10026145,Uttar Pradesh
Amethi,yams,0,Uttar Pradesh
Amritsar,arabica coffee,0,Punjab
Amritsar,banana,0.100000001490116,Punjab
Amritsar,barley,690.799997329712,Punjab
Amritsar,bean,703.799998283386,Punjab
Amritsar,cassava,0,Punjab
Amritsar,chickpea,464.700000524521,Punjab
Amritsar,coconut,0,Punjab
Amritsar,cocoa,0,Punjab
Amritsar,cotton,18503.9000487328,Punjab
Amritsar,cowpea,0,Punjab
Amritsar,groundnut,164.699999094009,Punjab
Amritsar,lentil,43.7999997138977,Punjab
Amritsar,maize,6798.99998474121,Punjab
Amritsar,other cereals,0,Punjab
Amritsar,other fibre crops,0,Punjab
Amritsar,oilpalm,0,Punjab
Amritsar,other oil crops,34.200000166893,Punjab
Amritsar,other pulses,100.200000524521,Punjab
Amritsar,other roots,0,Punjab
Amritsar,pigeonpea,170.300000429153,Punjab
Amritsar,plantain,0,Punjab
Amritsar,pearl millet,325.999996185303,Punjab
Amritsar,potato,7661.49994659424,Punjab
Amritsar,rapeseed,1356.50000190735,Punjab
Amritsar,robusta coffee,0,Punjab
Amritsar,rice,101363.400726318,Punjab
Amritsar,sesameseed,240.399998188019,Punjab
Amritsar,small millet,0,Punjab
Amritsar,sorghum,4.60000006854534,Punjab
Amritsar,soybean,0,Punjab
Amritsar,sugarbeet,0,Punjab
Amritsar,sugarcane,294.100003361702,Punjab
Amritsar,sunflower,966.600001335144,Punjab
Amritsar,sweet potato,0,Punjab
Amritsar,tea,0,Punjab
Amritsar,temperate fruit,0,Punjab
Amritsar,tobacco,0,Punjab
Amritsar,tropical fruit,1.10000002384186,Punjab
Amritsar,vegetables,38491.3997192383,Punjab
Amritsar,wheat,232533.999633789,Punjab
Amritsar,yams,0,Punjab
Amroha,arabica coffee,0,Uttar Pradesh
Amroha,banana,0,Uttar Pradesh
Amroha,barley,49.7999999523163,Uttar Pradesh
Amroha,bean,303.099998474121,Uttar Pradesh
Amroha,cassava,0,Uttar Pradesh
Amroha,chickpea,0.800000011920929,Uttar Pradesh
Amroha,coconut,0,Uttar Pradesh
Amroha,cocoa,0,Uttar Pradesh
Amroha,cotton,0,Uttar Pradesh
Amroha,cowpea,0,Uttar Pradesh
Amroha,groundnut,25.7999998927116,Uttar Pradesh
Amroha,lentil,103.699998855591,Uttar Pradesh
Amroha,maize,3166.50001525879,Uttar Pradesh
Amroha,other cereals,0,Uttar Pradesh
Amroha,other fibre crops,0,Uttar Pradesh
Amroha,oilpalm,0,Uttar Pradesh
Amroha,other oil crops,0,Uttar Pradesh
Amroha,other pulses,2392.70000076294,Uttar Pradesh
Amroha,other roots,0,Uttar Pradesh
Amroha,pigeonpea,391.600004196167,Uttar Pradesh
Amroha,plantain,0,Uttar Pradesh
Amroha,pearl millet,3716.5000076294,Uttar Pradesh
Amroha,potato,3632.10000228882,Uttar Pradesh
Amroha,rapeseed,3311.60001754761,Uttar Pradesh
Amroha,robusta coffee,0,Uttar Pradesh
Amroha,rice,24561.5999450684,Uttar Pradesh
Amroha,sesameseed,10.3000001832843,Uttar Pradesh
Amroha,small millet,0,Uttar Pradesh
Amroha,sorghum,0,Uttar Pradesh
Amroha,soybean,0,Uttar Pradesh
Amroha,sugarbeet,0,Uttar Pradesh
Amroha,sugarcane,66064.5002441406,Uttar Pradesh
Amroha,sunflower,0,Uttar Pradesh
Amroha,sweet potato,280.900000572205,Uttar Pradesh
Amroha,tea,0,Uttar Pradesh
Amroha,temperate fruit,0,Uttar Pradesh
Amroha,tobacco,0,Uttar Pradesh
Amroha,tropical fruit,380.799993515015,Uttar Pradesh
Amroha,vegetables,102.8999992311,Uttar Pradesh
Amroha,wheat,88976.1004638672,Uttar Pradesh
Amroha,yams,0,Uttar Pradesh
Araria,arabica coffee,0,Bihar
Araria,banana,550.700005531311,Bihar
Araria,barley,42.499999910593,Bihar
Araria,bean,15278.3000793457,Bihar
Araria,cassava,0,Bihar
Araria,chickpea,1061.29999732971,Bihar
Araria,coconut,0,Bihar
Araria,cocoa,0,Bihar
Araria,cotton,0,Bihar
Araria,cowpea,0,Bihar
Araria,groundnut,238.399999238551,Bihar
Araria,lentil,2856.29999542236,Bihar
Araria,maize,22919.1999359131,Bihar
Araria,other cereals,0,Bihar
Araria,other fibre crops,39443.1000366211,Bihar
Araria,oilpalm,0,Bihar
Araria,other oil crops,2118.60000610352,Bihar
Araria,other pulses,328.999997615814,Bihar
Araria,other roots,0,Bihar
Araria,pigeonpea,364.19999730587,Bihar
Araria,plantain,0,Bihar
Araria,pearl millet,0,Bihar
Araria,potato,8572.60008239746,Bihar
Araria,rapeseed,3198.59999084473,Bihar
Araria,robusta coffee,0,Bihar
Araria,rice,110646.699707031,Bihar
Araria,sesameseed,27.8000001311302,Bihar
Araria,small millet,828.100004196167,Bihar
Araria,sorghum,22.0000002086163,Bihar
Araria,soybean,0,Bihar
Araria,sugarbeet,0,Bihar
Araria,sugarcane,2.5,Bihar
Araria,sunflower,2159.40000152588,Bihar
Araria,sweet potato,14.0000002086163,Bihar
Araria,tea,0,Bihar
Araria,temperate fruit,0,Bihar
Araria,tobacco,3.20000004768372,Bihar
Araria,tropical fruit,21727,Bihar
Araria,vegetables,5277.50001525879,Bihar
Araria,wheat,52672.2999420166,Bihar
Araria,yams,0,Bihar
Arwal,arabica coffee,0,Bihar
Arwal,banana,0,Bihar
Arwal,barley,158.699999809265,Bihar
Arwal,bean,589.599990844727,Bihar
Arwal,cassava,0,Bihar
Arwal,chickpea,723.20000076294,Bihar
Arwal,coconut,0,Bihar
Arwal,cocoa,0,Bihar
Arwal,cotton,0,Bihar
Arwal,cowpea,0,Bihar
Arwal,groundnut,19.6999999284744,Bihar
Arwal,lentil,2410.5000076294,Bihar
Arwal,maize,1166.90000915527,Bihar
Arwal,other cereals,0,Bihar
Arwal,other fibre crops,3.39999996125698,Bihar
Arwal,oilpalm,0,Bihar
Arwal,other oil crops,115.900000572205,Bihar
Arwal,other pulses,10.9000000730157,Bihar
Arwal,other roots,0,Bihar
Arwal,pigeonpea,64.2999994754791,Bihar
Arwal,plantain,0,Bihar
Arwal,pearl millet,6.30000019073486,Bihar
Arwal,potato,1423.1000213623,Bihar
Arwal,rapeseed,243.500000953674,Bihar
Arwal,robusta coffee,0,Bihar
Arwal,rice,50213.8000488281,Bihar
Arwal,sesameseed,20.1000000536442,Bihar
Arwal,small millet,89.1000013351441,Bihar
Arwal,sorghum,3.19999996572733,Bihar
Arwal,soybean,0,Bihar
Arwal,sugarbeet,0,Bihar
Arwal,sugarcane,179.399997472763,Bihar
Arwal,sunflower,6.30000013113022,Bihar
Arwal,sweet potato,4.00000005960465,Bihar
Arwal,tea,0,Bihar
Arwal,temperate fruit,0,Bihar
Arwal,tobacco,0,Bihar
Arwal,tropical fruit,0,Bihar
Arwal,vegetables,342.199996948242,Bihar
Arwal,wheat,25580.4001464844,Bihar
Arwal,yams,0,Bihar
Auraiya,arabica coffee,0,Uttar Pradesh
Auraiya,banana,12.6000002622604,Uttar Pradesh
Auraiya,barley,2333.90002775192,Uttar Pradesh
Auraiya,bean,2456.00000762939,Uttar Pradesh
Auraiya,cassava,0,Uttar Pradesh
Auraiya,chickpea,7041.59996032715,Uttar Pradesh
Auraiya,coconut,0,Uttar Pradesh
Auraiya,cocoa,0,Uttar Pradesh
Auraiya,cotton,0,Uttar Pradesh
Auraiya,cowpea,0,Uttar Pradesh
Auraiya,groundnut,147.999999679625,Uttar Pradesh
Auraiya,lentil,86.4000002741814,Uttar Pradesh
Auraiya,maize,9524.50010681152,Uttar Pradesh
Auraiya,other cereals,0,Uttar Pradesh
Auraiya,other fibre crops,3.00000002235174,Uttar Pradesh
Auraiya,oilpalm,0,Uttar Pradesh
Auraiya,other oil crops,35.2999998182058,Uttar Pradesh
Auraiya,other pulses,1836.10000991821,Uttar Pradesh
Auraiya,other roots,0,Uttar Pradesh
